순번,업체명,업종1,업종2,업종3,특화1,특화2,특화3,특징
1,매란지컴퍼니,셔츠 및 블라우스 제조업,원단 제조,,패션상품 제조,원단 제조,,셔츠 블라우스 패션 상품 원단 옷 의류
2,신한이에프,기타 직물제품 제조업,,,마스크,,,마스크 위생 보호 방역 직물 의료
3,TNJ,"의류,잡화 도소매",의류 제조,무역/전자상거래,의류 제조,의류 도소매,,의류 잡화 무역 전자상거래
4,㈜인터코스,화장품 제조,,,기초화장품,색조화장품,기타화장품,로션 메이크업 립스틱 기초 화장품 크림 화장품 제조 기타화장품 스킨케어 아이섀도우 향수 네일 뷰티
5,모베,매트리스 및 침대 제조업,,,침대,매트리스,기타가구,책상 매트리스 침대 테이블 가구 의자 침구 베드 매트리스 편안함 침대
6,신성상사,직물 도매업,,,직물 도소매,,,직물 원단 패브릭 천 섬유 텍스타일
7,씨엔티드림,유아용 의복 제조업,,,유아의류,,,유아용 의복 유아 의류 아동복 아동 애기 아기
8,스튜디오 블랙,음악 및 기타 오디오물 출판업,,,방송영상제작,홍보영상제작,,방송 영상 제작 홍보 음악 오디오물 출판
9,레드스튜디오,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",,,방송영상제작,홍보영상제작,,방송 영상 제작 영화 비디오물 방송 프로그램 서비스업 홍보
10,송영철 공작소,방송 프로그램 제작업,,,홍보영상제작,,,방송 프로그램 홍보 영상 제작
11,리파인드엘,전자상거래 소매업,,,식품 도소매,,,식품 전자상거래 음식 푸드
12,인포벨,전자상거래 소매업,,,인포모셜 홈쇼핑,,,전자상거래 인포모셜 홈쇼핑 광고 방송 정보
13,다커머스,전자상거래 소매업,,,의류 도소매,생활용품 도소매,,생활 용품 의류 전자상거래 옷
14,(주)덕윤,전자상거래 소매업,,,온라인도소매,폐쇠몰도소매,오프라인도소매,오프라인 폐쇠몰 전자상거래 온라인
15,주식회사 위너쉬,전자상거래 소매업,,,온라인도소매,폐쇠몰도소매,오프라인도소매,오프라인 폐쇠몰 전자상거래 온라인 
16,(주)하람피앤아이,제조,,,종이상자 제조,나무상자 제조,포장용품 제조,나무 상자 만들기 종이 포장 용품
17,주식회사 샤인코리아,제조,,,화장품 용기,화장품 포장제,,화장품 포장제 만들기 화장품 용기 포장 용품  뷰티
18,(주)박스코리아,제조,,,골판지 박스,기타 박스,,골판지 박스 만들기 종이 페이퍼
19,(주)한빛향료,제조,,,향료,식품첨가물,,향료 식품 첨가물 향신료 향취제 향수
20,주식회사 오에이티씨,서비스,,,물질성분검사,화장품분석,농산물 품질분석,농산물 품질 분석 서비스 화장품 분석 물질 성분 검사 농사 농업
21,에스엔패션그룹(주),제조,,,남성의류,작업복,,남성 의류 만들기 작업복
22,(주)스노젠,제조,,,섬유유연재,나염용호재,,섬유유연재 나염용호재 만들기
23,(주)디케이앤디,제조,,,플라스틱 합성피혁,신발용 피혁,,만들기 신발용 플라스틱 합성 피혁
24,(주)라쉬반코리아,제조,,,속옷,잠옷,,잠옷 속옷 옷 의류 속옷류
25,(주)더마랩,제조,,,화장품원료,,,화장품 원료 뷰티 화장
26,(주)바이오코스텍,제조,,,기초화장품,,,로션 기초화장품 크림 스킨케어
27,(주)케미코스,제조,,,포장용 플라스틱 성형용기,,,포장용 플라스틱 성형용기
28,(주)원일바이오,제조,,,건강기능식품,,,건강 기능 식품
29,(주)진한식품,제조,,,식품,"삼계탕,육계장,추어탕,조미료 등 ",,삼계탕 육계장 추어탕 조미료  식품 식료품 먹거리 음식
30,(주)미래심지,제조,,,의류용 직물심지,,,의류용 직물심지 의류 옷 섬유 직물 심지
31,(주)대한위재상사,제조,,,탄력붕대,탈지면,가아재,탄력붕대 탈지면 가아재 의류 의료
